2026-07-14 10:59:20.983 python[82899:24060254] 2026-07-14 10:59:20.982507 [W:onnxruntime:, graph.cc:122 MergeShapeInfo] Error merging shape info for output. 'safe_name_19' source:{1,10,30,30} target:{1,1,1,1}. Falling back to lenient merge.
2026-07-14 10:59:21.016 python[82899:24060254] 2026-07-14 10:59:21.016850 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.017 python[82899:24060254] 2026-07-14 10:59:21.017067 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.017 python[82899:24060254] 2026-07-14 10:59:21.017303 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.017 python[82899:24060254] 2026-07-14 10:59:21.017493 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.017 python[82899:24060254] 2026-07-14 10:59:21.017717 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.017 python[82899:24060254] 2026-07-14 10:59:21.017892 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.018 python[82899:24060254] 2026-07-14 10:59:21.018111 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.018 python[82899:24060254] 2026-07-14 10:59:21.018286 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.018 python[82899:24060254] 2026-07-14 10:59:21.018501 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.018 python[82899:24060254] 2026-07-14 10:59:21.018673 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.018 python[82899:24060254] 2026-07-14 10:59:21.018887 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.019 python[82899:24060254] 2026-07-14 10:59:21.019084 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.019 python[82899:24060254] 2026-07-14 10:59:21.019317 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.019 python[82899:24060254] 2026-07-14 10:59:21.019496 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.019 python[82899:24060254] 2026-07-14 10:59:21.019675 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.019 python[82899:24060254] 2026-07-14 10:59:21.019814 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,2,30,30} != {1,2,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.020 python[82899:24060254] 2026-07-14 10:59:21.019975 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,2,30,30} != {1,2,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.020 python[82899:24060254] 2026-07-14 10:59:21.020107 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,2,30,30} != {1,2,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.020 python[82899:24060254] 2026-07-14 10:59:21.020242 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.020 python[82899:24060254] 2026-07-14 10:59:21.020388 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.020 python[82899:24060254] 2026-07-14 10:59:21.020560 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.020 python[82899:24060254] 2026-07-14 10:59:21.020733 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.021 python[82899:24060254] 2026-07-14 10:59:21.020958 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.021 python[82899:24060254] 2026-07-14 10:59:21.021131 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.021 python[82899:24060254] 2026-07-14 10:59:21.021353 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.021 python[82899:24060254] 2026-07-14 10:59:21.021530 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.021 python[82899:24060254] 2026-07-14 10:59:21.021741 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.021 python[82899:24060254] 2026-07-14 10:59:21.021909 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.022 python[82899:24060254] 2026-07-14 10:59:21.022123 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.022 python[82899:24060254] 2026-07-14 10:59:21.022291 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.022 python[82899:24060254] 2026-07-14 10:59:21.022500 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.022 python[82899:24060254] 2026-07-14 10:59:21.022669 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.022 python[82899:24060254] 2026-07-14 10:59:21.022881 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.023 python[82899:24060254] 2026-07-14 10:59:21.023058 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.023 python[82899:24060254] 2026-07-14 10:59:21.023247 [W:onnxruntime:, execution_frame.cc:874 VerifyOutputSizes] Expected shape from model of {1,1,1,1} does not match actual shape of {1,10,30,30} for output output
2026-07-14 10:59:21.024 python[82899:24060254] 2026-07-14 10:59:21.024253 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,30,30}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.024 python[82899:24060254] 2026-07-14 10:59:21.024447 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.024 python[82899:24060254] 2026-07-14 10:59:21.024627 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.024 python[82899:24060254] 2026-07-14 10:59:21.024843 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.025 python[82899:24060254] 2026-07-14 10:59:21.025013 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.025 python[82899:24060254] 2026-07-14 10:59:21.025223 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.025 python[82899:24060254] 2026-07-14 10:59:21.025394 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.025 python[82899:24060254] 2026-07-14 10:59:21.025601 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.025 python[82899:24060254] 2026-07-14 10:59:21.025765 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.026 python[82899:24060254] 2026-07-14 10:59:21.026005 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.026 python[82899:24060254] 2026-07-14 10:59:21.026172 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.026 python[82899:24060254] 2026-07-14 10:59:21.026376 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.026 python[82899:24060254] 2026-07-14 10:59:21.026544 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.026 python[82899:24060254] 2026-07-14 10:59:21.026752 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.026 python[82899:24060254] 2026-07-14 10:59:21.026918 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.027 python[82899:24060254] 2026-07-14 10:59:21.027091 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.027 python[82899:24060254] 2026-07-14 10:59:21.027225 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,2,30,30} != {1,2,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.027 python[82899:24060254] 2026-07-14 10:59:21.027366 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,2,30,30} != {1,2,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.027 python[82899:24060254] 2026-07-14 10:59:21.027493 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,2,30,30} != {1,2,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.027 python[82899:24060254] 2026-07-14 10:59:21.027621 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.027 python[82899:24060254] 2026-07-14 10:59:21.027767 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,15,15}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.027 python[82899:24060254] 2026-07-14 10:59:21.027935 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.028 python[82899:24060254] 2026-07-14 10:59:21.028100 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.028 python[82899:24060254] 2026-07-14 10:59:21.028312 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.028 python[82899:24060254] 2026-07-14 10:59:21.028477 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.028 python[82899:24060254] 2026-07-14 10:59:21.028680 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.028 python[82899:24060254] 2026-07-14 10:59:21.028844 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.029 python[82899:24060254] 2026-07-14 10:59:21.029047 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.029 python[82899:24060254] 2026-07-14 10:59:21.029212 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.029 python[82899:24060254] 2026-07-14 10:59:21.029415 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.029 python[82899:24060254] 2026-07-14 10:59:21.029586 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.029 python[82899:24060254] 2026-07-14 10:59:21.029800 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.030 python[82899:24060254] 2026-07-14 10:59:21.029965 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.030 python[82899:24060254] 2026-07-14 10:59:21.030169 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,28,28}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
2026-07-14 10:59:21.030 python[82899:24060254] 2026-07-14 10:59:21.030337 [W:onnxruntime:, execution_frame.cc:655 AllocateMLValueTensorPreAllocateBuffer] Shape mismatch attempting to re-use buffer. {1,10,30,30} != {1,1,29,29}. Validate usage of dim_value (values should be > 0) and dim_param (all values with the same string should equate to the same size) in shapes in the model.
